ID,celkova_delka,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
315,16733.96,0,0,0,0,9263.49,5608.5,1621.88,102.88,0,137.21,0
316,20602.18,0,0,0,1858.69,6606.35,7724.99,3145.63,1266.52,0,0,0
317,18316.66,0,0,0,8428.3,7371.88,2467.83,48.65,0,0,0,0
318,13117.46,89.46,0,0,1214.78,3770.83,6747.89,676.74,617.77,0,0,0
319,16435.69,0,0,2343.32,4986.61,5659.52,3385.79,60.46,0,0,0,0
320,17654.14,0,0,2630.8,5794.58,5399.74,3124.29,704.73,0,0,0,0
321,13325.83,0,0,0,3621.49,5971.57,2790.6,942.18,0,0,0,0
322,18513.38,0,0,0,0,0,5154.69,8800.07,3930.6,628.01,0,0
323,15033.91,0,0,0,0,0,4609.93,8462.71,1961.27,0,0,0
324,3684.59,0,0,0,0,0,2656.98,902.83,124.78,0,0,0
325,16247.57,0,0,0,7680.15,4152.89,4414.53,0,0,0,0,0
326,5697.92,0,0,0,0,0,4317.92,1380.0,0,0,0,0
327,5024.93,0,0,0,0,0,4483.36,516.79,24.78,0,0,0
328,11773.02,0,0,0,0,4341.48,6374.39,864.43,192.72,0,0,0
329,13786.46,0,0,0,621.15,10692.37,2297.34,175.6,0,0,0,0
330,11759.37,0,0,0,0,3631.35,6389.43,1738.6,0,0,0,0
331,15264.25,0,0,0,0,5017.22,7773.24,2473.79,0,0,0,0
332,21067.35,0,0,0,0,5225.29,12302.78,3207.55,331.73,0,0,0
333,16260.21,0,0,0,7744.7,6365.04,2027.49,122.98,0,0,0,0
334,17989.92,0,0,0,0,0,4331.56,7592.57,5052.38,979.96,33.44,0
335,8054.64,0,0,0,0,166.82,2743.51,1990.24,1533.21,1620.87,0,0
336,20999.26,0,0,0,855.74,3005.64,1870.17,5064.57,7575.04,2628.1,0,0
337,305.03,0,0,0,200.35,104.68,0,0,0,0,0,0
338,321.92,0,0,0,0,0,0,0,321.92,0,0,0
339,0.0,0,0,0,0,0,0,0,0,0,0,0
340,17153.58,0,0,0,6368.48,8421.92,2175.29,187.89,0,0,0,0
341,19072.64,0,0,0,6928.75,7891.54,4128.42,123.93,0,0,0,0
342,19056.69,333.79,0,0,0,0,5635.56,10557.09,2530.26,0,0,0
343,15148.59,0,0,0,0,0,5808.3,8578.56,761.73,0,0,0
344,12114.14,0,0,0,0,412.31,7072.48,3486.21,1001.13,142.01,0,0
345,17300.1,0,0,0,5297.92,8136.3,1744.27,2049.64,71.97,0,0,0
