ID,zeleznice_delka,vrstevnice_pocet,vodni_plohy_rozloha,dibA02_delka,relief_rozloha,zastavba_rozloha
353,2289.46,101.0,301674.28,13411.89,0.0,531912.34
354,5250.47,99.0,94381.05,18367.25,0.0,660712.03
355,8350.41,110.0,195447.29,16392.26,4005.21,558020.02
356,7747.79,96.0,238666.28,11341.29,31598.32,1210859.55
357,3885.52,137.0,252149.57,9710.53,0.0,5530178.13
358,3983.09,102.0,323394.93,16345.79,42837.7,815978.19
359,4142.49,144.0,140090.18,16824.29,75754.98,829850.53
360,6179.28,62.0,695607.93,9420.45,3.0,509542.24
361,6697.03,86.0,664632.91,19526.44,3654.9,336984.96
362,3365.05,116.0,324525.12,11650.11,4556.55,1810082.43
363,346.25,200.0,27878.85,16305.16,0.0,2242246.11
364,6168.98,147.0,135691.3,9803.25,0.0,5582570.27
365,9230.86,90.0,46840.42,5965.13,84829.1,11056978.51
366,46943.04,124.0,101474.17,1177.8,97125.92,9619590.95
367,5261.49,120.0,148935.07,3870.75,28791.16,3925853.82
368,5901.14,161.0,20089.97,13594.59,0.0,2580852.82
369,2904.69,99.0,29027.57,8931.26,0.0,2591028.26
370,5476.34,88.0,79897.11,12613.76,0.0,2133814.12
371,2138.85,53.0,85900.38,9069.46,0.0,1141720.07
372,14329.99,118.0,460803.5,3078.13,45083.62,4125072.37
373,7031.53,76.0,40343.1,12184.24,0.0,2504431.19
374,6719.87,240.0,171971.34,16279.97,8240.51,216765.43
375,166.46,267.0,40202.42,16702.31,2.0,342029.46
376,8719.21,319.0,121229.05,9154.2,6.0,2976700.12
377,4575.88,248.0,133971.88,14345.37,33947.23,607841.18
378,889.24,224.0,161162.89,19136.6,897.1,656989.91
379,3952.21,96.0,233546.76,13899.66,0.0,1061625.21
380,12456.47,82.0,513950.48,12773.49,0.0,5038632.6
381,4398.5,107.0,237570.29,13330.18,0.0,579948.08
382,4054.34,105.0,692948.84,17240.83,0.0,942357.25
383,4031.0,33.0,2083669.55,26442.02,2951.1,506041.73
384,9954.67,111.0,1054252.64,17409.89,0.0,788407.98
385,985.42,97.0,501989.27,13153.26,1.0,538971.78
386,7301.7,91.0,610719.31,5941.54,6292.59,3158344.06
387,4194.2,89.0,426657.13,22245.55,2.0,618637.14
388,557.86,81.0,300830.62,16327.71,0.0,204020.51
389,602.09,101.0,424099.77,14600.87,1.0,1288832.96
390,5456.29,139.0,226869.41,12288.99,40524.6,573525.11
391,4379.9,171.0,368519.92,15079.73,0.0,497271.61
392,7810.42,200.0,102414.88,12005.08,3137.21,1744751.51
393,1861.65,122.0,647534.61,15121.22,2325.48,757767.59
394,3904.93,98.0,305691.67,6718.04,3167.25,543592.85
395,668.39,229.0,579874.7,9915.2,0.0,3030784.75
396,7784.79,208.0,11954.97,15410.85,0.0,6726578.43
397,5697.95,342.0,117152.1,11566.9,4130.77,3685483.66
398,4914.31,87.0,99892.01,8344.24,0.0,1724831.24
399,85.14,80.0,93412.46,23731.22,2777.94,1413462.52
400,6161.63,125.0,87593.75,13165.1,0.0,1752260.65
401,3201.41,165.0,38549.03,20860.69,0.0,965574.82
402,9395.96,49.0,257426.61,11927.36,1527.72,1949229.99
403,1128.28,55.0,99268.68,14269.2,0.0,1701203.71
404,11724.36,170.0,119742.97,16447.13,7569.71,5011336.7
405,4137.61,129.0,106542.94,13969.03,0.0,5183381.12
406,5124.1,156.0,74002.78,19046.75,0.0,2090133.06
407,4428.92,98.0,86230.33,18716.86,0.0,1794492.62
408,4253.0,188.0,47708.5,23421.89,0.0,2263914.68
410,686.75,218.0,1942.65,28141.11,0.0,399221.73
411,813.05,184.0,112522.13,15859.19,907.54,1738468.91
412,7534.52,99.0,3439.87,19095.08,3860.26,681595.23
413,1559.75,154.0,14264.82,15370.8,0.0,437002.48
414,7476.41,165.0,33815.67,16949.01,5.0,442438.55
415,4428.12,104.0,344943.06,25156.89,3182.34,674509.88
416,7245.64,152.0,37470.55,20285.41,3.0,708708.11
417,8.61,216.0,469500.31,12195.19,2.0,373685.49
418,4896.49,203.0,267367.92,13187.11,7343.04,810288.16
419,2972.1,158.0,294827.26,5448.05,4070.82,909364.13
420,4529.52,74.0,251476.67,8221.63,2009.57,489285.52
421,765.35,101.0,333458.67,12945.53,0.0,1338610.85
422,5081.55,208.0,352535.09,9908.98,0.0,1499885.42
423,6041.09,124.0,999763.85,5700.82,31096.92,1928473.4
424,3910.81,105.0,153836.42,16694.63,29114.31,2311775.15
425,131.44,72.0,326851.03,8616.01,40552.21,1503814.09
426,8916.36,68.0,198364.5,8949.82,7752.65,853938.04
427,5530.39,23.0,78052.87,1917.43,0.0,773995.76
428,4209.47,63.0,512666.66,8596.29,7662.67,1537491.35
429,6872.58,68.0,233243.35,19848.84,0.0,1455199.22
430,531.98,93.0,135670.23,12614.81,380883.12,244675.74
431,5324.83,72.0,98953.95,14079.51,2.0,403991.91
432,4564.44,139.0,336427.99,11306.58,830610.96,2031134.08
433,5314.93,176.0,114815.28,18230.08,18790.4,504486.24
434,2559.09,104.0,130143.23,13846.44,0.0,726563.65
435,4666.46,124.0,81454.35,11313.08,3.0,828006.81
436,2716.79,193.0,1964.78,4811.54,0.0,2148666.34
437,2629.63,262.0,36647.4,20410.98,0.0,2139524.03
438,4568.26,465.0,91596.93,18108.07,0.0,646367.55
439,1089.26,111.0,136821.89,10094.72,11768.3,1263383.15
440,9814.73,65.0,267923.06,5609.52,0.0,3480604.06
441,4311.96,34.0,55223.66,7943.64,0.0,1238432.87
442,375.1,45.0,109662.94,13529.57,0.0,975139.58
443,165.44,76.0,30852.08,8913.3,0.0,1397154.34
444,5706.66,46.0,31448.72,18514.83,0.0,865311.9
445,151.62,99.0,27444.76,16131.02,0.0,886520.42
446,423.12,67.0,8033.98,11045.97,0.0,884035.6
447,2997.56,60.0,40304.7,11762.94,0.0,1411521.51
448,2398.18,64.0,60554.16,13658.95,10552.03,1889256.41
